track,track_stem,preset_short_label,label,spectral_mae_db,spectral_rmse_db,spectral_corr,mae_20_200_db,mae_200_2000_db,mae_2000_8000_db,mae_8000_20000_db,delta_peak_db,delta_rms_db,delta_crest_db
Deftones/around the fur/10 Deftones - MX ／ Bong Hit ／ Damone.wav,Deftones__around_the_fur__10_Deftones_-_MX_／_Bong_Hit_／_Damone,128 CBR,MP3 128 kbps CBR,6.84457540512085,14.210434913635254,0.9009727175243489,0.43816879391670227,0.4311051368713379,0.2456095814704895,9.37091064453125,0.5173320000000001,-0.4170560000000023,0.934388000000002
Deftones/around the fur/10 Deftones - MX ／ Bong Hit ／ Damone.wav,Deftones__around_the_fur__10_Deftones_-_MX_／_Bong_Hit_／_Damone,192 CBR,MP3 192 kbps CBR,3.5416579246520996,9.127514839172363,0.9398473969098181,0.2625921964645386,0.26151156425476074,0.227037712931633,3.337486743927002,0.3912924000000002,-0.2587130000000002,0.6500060000000012
Deftones/around the fur/10 Deftones - MX ／ Bong Hit ／ Damone.wav,Deftones__around_the_fur__10_Deftones_-_MX_／_Bong_Hit_／_Damone,320 CBR,MP3 320 kbps CBR,1.5441032648086548,5.541773319244385,0.9641696509875546,0.0007399390451610088,0.0013348242500796914,0.004069026559591293,0.054805412888526917,0.30105340000000025,0.00027799999999800207,0.3007760000000026
Deftones/around the fur/10 Deftones - MX ／ Bong Hit ／ Damone.wav,Deftones__around_the_fur__10_Deftones_-_MX_／_Bong_Hit_／_Damone,V0,MP3 VBR q0,0.5289669632911682,1.428679347038269,0.9977915906359988,0.0011745902011170983,0.0033015520311892033,0.008602587506175041,0.325657457113266,0.5173776000000001,0.000680999999996601,0.5166980000000017
Deftones/around the fur/10 Deftones - MX ／ Bong Hit ／ Damone.wav,Deftones__around_the_fur__10_Deftones_-_MX_／_Bong_Hit_／_Damone,V2,MP3 VBR q2,3.5160319805145264,9.175053596496582,0.9404460992740568,0.003137251827865839,0.008529639802873135,0.025028927251696587,3.4336040019989014,0.8741091999999999,-0.0002880000000011762,0.8743980000000029
Deftones/around the fur/10 Deftones - MX ／ Bong Hit ／ Damone.wav,Deftones__around_the_fur__10_Deftones_-_MX_／_Bong_Hit_／_Damone,V5,MP3 VBR q5,7.169555187225342,14.320500373840332,0.9006545284621646,0.013085421174764633,0.05200713872909546,0.2638535499572754,10.022465705871582,1.3422899,0.024968999999998687,1.3173230000000018
Motion City Soundtrack/I am the movie/01 Motion City Soundtrack - Cambridge.wav,Motion_City_Soundtrack__I_am_the_movie__01_Motion_City_Soundtrack_-_Cambridge,128 CBR,MP3 128 kbps CBR,9.084799766540527,17.957542419433594,0.8783104128828424,0.44885557889938354,0.43704652786254883,0.2317299097776413,11.413263320922852,0.32933069999999987,-0.43561300000000003,0.7649449999999991
Motion City Soundtrack/I am the movie/01 Motion City Soundtrack - Cambridge.wav,Motion_City_Soundtrack__I_am_the_movie__01_Motion_City_Soundtrack_-_Cambridge,192 CBR,MP3 192 kbps CBR,5.188188552856445,12.785139083862305,0.8974705098674078,0.26620641350746155,0.26464954018592834,0.21791264414787292,4.286798000335693,0.07061010000000012,-0.2629450000000002,0.3335549999999987
Motion City Soundtrack/I am the movie/01 Motion City Soundtrack - Cambridge.wav,Motion_City_Soundtrack__I_am_the_movie__01_Motion_City_Soundtrack_-_Cambridge,320 CBR,MP3 320 kbps CBR,2.6421589851379395,8.75374984741211,0.9165840948310576,0.0012279959628358483,0.0030532311648130417,0.011341060511767864,0.07747001200914383,0.2266969999999997,-0.00032599999999938234,0.22702399999999834
Motion City Soundtrack/I am the movie/01 Motion City Soundtrack - Cambridge.wav,Motion_City_Soundtrack__I_am_the_movie__01_Motion_City_Soundtrack_-_Cambridge,V0,MP3 VBR q0,0.5076899528503418,1.6156424283981323,0.9945710838308551,0.0013818179722875357,0.005724490154534578,0.020295076072216034,0.17131979763507843,0.19405669999999997,0.0008200000000009311,0.19323799999999913
Motion City Soundtrack/I am the movie/01 Motion City Soundtrack - Cambridge.wav,Motion_City_Soundtrack__I_am_the_movie__01_Motion_City_Soundtrack_-_Cambridge,V2,MP3 VBR q2,5.140563488006592,12.78342342376709,0.8981791067367612,0.0029048919677734375,0.01122825313359499,0.043025724589824677,4.329157829284668,0.45554870000000003,-0.0015499999999999403,0.4570989999999995
Motion City Soundtrack/I am the movie/01 Motion City Soundtrack - Cambridge.wav,Motion_City_Soundtrack__I_am_the_movie__01_Motion_City_Soundtrack_-_Cambridge,V5,MP3 VBR q5,9.3494873046875,18.091110229492188,0.8791121423412069,0.0086204307153821,0.03636949509382248,0.2023635357618332,11.981656074523926,0.8813548,0.006240000000000023,0.8751149999999992
Motion City Soundtrack/I am the movie/02 Motion City Soundtrack - Shiver.wav,Motion_City_Soundtrack__I_am_the_movie__02_Motion_City_Soundtrack_-_Shiver,128 CBR,MP3 128 kbps CBR,9.605216979980469,18.799468994140625,0.8758273202591258,0.44649720191955566,0.43304094672203064,0.22458884119987488,11.7052640914917,0.4047453000000001,-0.4321980000000014,0.836945
Motion City Soundtrack/I am the movie/02 Motion City Soundtrack - Shiver.wav,Motion_City_Soundtrack__I_am_the_movie__02_Motion_City_Soundtrack_-_Shiver,192 CBR,MP3 192 kbps CBR,5.571976661682129,13.694148063659668,0.8831699630048047,0.26713359355926514,0.26227840781211853,0.2116461992263794,4.3269243240356445,0.19505309999999998,-0.2623250000000006,0.45737699999999926
Motion City Soundtrack/I am the movie/02 Motion City Soundtrack - Shiver.wav,Motion_City_Soundtrack__I_am_the_movie__02_Motion_City_Soundtrack_-_Shiver,320 CBR,MP3 320 kbps CBR,3.001270055770874,9.875712394714355,0.8890868052116997,0.0010067435214295983,0.0027985372580587864,0.01056047435849905,0.07821804285049438,0.1840411999999998,0.00012549999999933448,0.18391599999999997
Motion City Soundtrack/I am the movie/02 Motion City Soundtrack - Shiver.wav,Motion_City_Soundtrack__I_am_the_movie__02_Motion_City_Soundtrack_-_Shiver,V0,MP3 VBR q0,0.3715055584907532,1.122368335723877,0.9964655171950857,0.0015666064573451877,0.004807192366570234,0.020068800076842308,0.1771196871995926,0.18073460000000008,0.0010719999999988516,0.17966299999999968
